phen_name	herb_name
Dyskinetic syndrome	Haematococcus lacustris
Dyskinetic syndrome	Inocybe farinosipes
Dyskinetic syndrome	Schisandra chinensis
Dyskinetic syndrome	Vaccinium corymbosum
Dyskinetic syndrome	Oryza sativa
Dyskinetic syndrome	Curcuma longa
Dyskinetic syndrome	Hypericum perforatum
Dyskinetic syndrome	Murraya koenigii
Dyskinetic syndrome	Morinda citrifolia
Dyskinetic syndrome	Cortinarius caesiocinctus
Deglutition Disorders	Calvatia gigantea
Deglutition Disorders	Fagopyrum esculentum
Deglutition Disorders	Oryza sativa
Deglutition Disorders	Calvatia fenzlii
Deglutition Disorders	Maba
Deglutition Disorders	Cinnamomum aromaticum
Deglutition Disorders	Alpinia officinarum
Deglutition Disorders	Saccharina japonica
Deglutition Disorders	Ecklonia cava subsp. kurome
Deglutition Disorders	Siphateles boraxobius
Deglutition Disorders	Papilio machaon
Deglutition Disorders	Phragmites australis
Deglutition Disorders	Pteridium aquilinum
Deglutition Disorders	Collocalia esculenta
Deglutition Disorders	Homo sapiens
Deglutition Disorders	Trichosanthes cucumeroides
Deglutition Disorders	Bos taurus
Deglutition Disorders	Ovis
Deglutition Disorders	Oryza sativa
Deglutition Disorders	Phalacrocorax carbo hanedae
Deglutition Disorders	Phalacrocorax carbo sinensis
Deglutition Disorders	Isa
Deglutition Disorders	Glaucidium cuculoides
Deglutition Disorders	Anser anser domesticus
Deglutition Disorders	Althaea officinalis
Deglutition Disorders	Inocybe favrei
Deglutition Disorders	Cortinarius talimultiformis
Deglutition Disorders	Philodendron
Deglutition Disorders	Actinidia chinensis
Deglutition Disorders	Rhizoclonium ramosum
Deglutition Disorders	Nicotiana tabacum
Deglutition Disorders	Alocasia macrorrhizos
Deglutition Disorders	Amanita glarea
Deglutition Disorders	Citrus
Deglutition Disorders	Vitis vinifera
Deglutition Disorders	Fragaria x ananassa
Deglutition Disorders	Triticum aestivum
Deglutition Disorders	Camellia sinensis
Deglutition Disorders	Serendipita herbamans
Deglutition Disorders	Dieffenbachia
Deglutition Disorders	Daucus carota
Deglutition Disorders	Zea mays
Deglutition Disorders	Prunus persica
Deglutition Disorders	Malus domestica
Deglutition Disorders	Phleum pratense
Deglutition Disorders	Pennellia yalaensis
Deglutition Disorders	Allium sativum
Deglutition Disorders	Oryza sativa
Deglutition Disorders	Kraftionema allantoideum
Deglutition Disorders	Echium
Deglutition Disorders	Amanita ballerina
Deglutition Disorders	Eragrostis tef
Deglutition Disorders	Ceratonia siliqua
Deglutition Disorders	Cuviera semseii
Deglutition Disorders	Eucalyptus grandis
Deglutition Disorders	Pluteus multiformis
Deglutition Disorders	Haematococcus lacustris
Deglutition Disorders	Arnica montana
Deglutition Disorders	Inosperma lanatodiscum
Postural instability	Serendipita herbamans
Postural instability	Helianthus annuus
Postural instability	Mucuna pruriens
Postural instability	Haematococcus lacustris
Postural instability	Morinda citrifolia
Postural instability	Bacopa monnieri
REM Sleep Behavior Disorder	Theobroma cacao
REM Sleep Behavior Disorder	Annona muricata
REM Sleep Behavior Disorder	Chrysanthemum x morifolium
REM Sleep Behavior Disorder	Arachis hypogaea
REM Sleep Behavior Disorder	Wolfiporia cocos
REM Sleep Behavior Disorder	Prunella vulgaris
REM Sleep Behavior Disorder	Agaricus bisporiticus
REM Sleep Behavior Disorder	Ocimum basilicum
REM Sleep Behavior Disorder	Nicotiana tabacum
REM Sleep Behavior Disorder	Podoscypha parvula
Depressive disorder	Lepus mandshuricus
Depressive disorder	Bupleurum chinense
Depressive disorder	Iti
Depressive disorder	Lepus tolai
Depressive disorder	Sesamum indicum
Depressive disorder	Teline
Depressive disorder	Hypericum perforatum
Depressive disorder	Gynochthodes officinalis
Constipation	Boschniakia rossica
Constipation	Calomela
Constipation	Morus alba
Constipation	Dianthus chinensis
Constipation	Dianthus superbus
Constipation	Scrophularia buergeriana
Constipation	Scrophularia ningpoensis
Constipation	Scrophularia fargesii
Constipation	Scrophularia kakudensis
Constipation	Scrophularia koraiensis
Constipation	Alcea rosea
Constipation	Lutra lutra
Constipation	Chroicocephalus ridibundus
Constipation	Senna alexandrina
Constipation	Gleditsia sinensis
Constipation	Radix
Constipation	Apha
Constipation	Io
Constipation	Nes
Constipation	Asparagus cochinchinensis
Constipation	Abelmoschus moschatus
Constipation	Anemarrhena asphodeloides
Constipation	Ami
Constipation	Prunus tomentosa
Constipation	Radix
Constipation	Senna occidentalis
Constipation	Cistanche deserticola
Constipation	Glycine max
Constipation	Frangula alnus
Constipation	Raphanus sativus
Constipation	Rumex japonicus
Constipation	Chondrus
Constipation	Rhamnus leptophylla
Constipation	Ophiopogon japonicus
Constipation	Angelica sinensis
Constipation	Trichosanthes kirilowii
Constipation	Celastrus paniculatus
Constipation	Croton
Constipation	Liriope spicata
Constipation	Rumex crispus
Constipation	Aralia elata
Constipation	Cynomorium songaricum
Constipation	Siraitia grosvenorii
Constipation	Perilla frutescens
Constipation	Iti
Constipation	Rheum hotaoense
